question_number,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
210056678077,B,E,D,C,E,B,B,A,A,C,D,C,D,B,E,A,A,A,E,C,B,A,D,D,A,C,B,B,A,B,D,B,B,D,C,D,C,D,B,C,A,E,E,A,D
210054585723,D,B,B,E,A,D,E,C,D,C,A,C,D,C,C,D,D,A,E,E,B,A,D,D,C,D,C,B,D,B,B,E,C,B,D,B,A,C,D,D,A,C,C,A,C
210056296739,D,D,D,E,E,E,A,C,D,C,A,E,C,A,B,D,C,A,E,E,D,A,C,E,D,B,D,E,B,E,E,E,C,D,E,B,A,E,C,D,E,A,E,A,C
210054560752,D,B,B,C,D,A,B,C,D,D,C,A,D,D,A,B,E,E,C,B,D,A,D,A,C,C,A,D,A,B,A,C,B,E,A,E,B,A,B,A,B,B,*,A,C
210056130763,E,B,A,C,C,B,B,D,A,D,D,E,D,B,B,C,A,A,E,E,B,E,E,D,B,E,D,C,A,D,A,E,C,A,E,B,A,E,C,D,B,A,B,A,C
210056359777,D,B,B,C,A,B,B,B,C,C,A,D,E,A,B,A,B,B,A,E,D,A,C,E,B,A,E,C,A,B,D,C,B,D,C,C,A,B,B,D,D,D,A,A,B
210056719908,D,D,E,A,E,E,A,E,E,A,A,C,D,C,B,D,C,E,E,E,A,A,D,C,C,B,C,A,E,B,E,B,A,D,B,E,D,B,C,E,E,E,A,A,C
210055328129,D,B,D,C,D,C,B,C,D,B,D,E,D,C,B,D,D,A,A,D,C,E,B,A,C,E,E,E,A,D,C,B,E,C,E,D,E,A,E,D,E,A,E,A,C
210055414597,A,B,B,E,D,E,B,A,E,A,A,C,E,C,B,C,A,E,A,A,B,C,D,E,A,E,C,A,D,B,C,B,C,C,E,D,A,C,E,D,A,C,C,A,B
210054733117,D,B,C,C,E,E,B,A,C,B,A,D,A,C,E,C,B,E,E,E,C,A,D,A,E,B,B,A,B,B,A,D,B,E,C,E,A,B,C,E,A,B,C,E,A
210057292430,D,C,B,C,B,B,A,A,A,A,D,C,A,C,E,A,A,A,E,E,B,A,C,B,B,E,A,E,A,B,D,E,B,E,A,B,A,C,D,D,B,D,A,A,B
210056598920,D,B,C,B,E,E,B,A,E,C,D,B,D,C,E,B,D,C,E,B,E,D,A,E,A,D,D,B,D,B,E,C,A,B,C,E,B,D,B,D,E,C,B,D,C
210055333471,D,C,D,C,E,A,B,C,D,D,A,C,D,A,E,C,A,A,A,D,B,A,D,D,B,E,C,B,A,B,D,B,C,B,D,B,A,A,D,D,A,A,E,A,B
210055080498,A,A,B,A,E,A,E,C,B,C,A,C,B,C,B,C,D,A,D,D,C,E,E,C,B,A,E,B,A,C,A,D,A,B,C,B,E,C,A,C,E,B,C,A,B
210055506495,E,A,B,C,A,E,B,C,D,E,A,E,D,A,B,C,A,A,A,E,C,B,D,D,E,E,A,B,E,B,A,E,B,B,E,D,A,C,E,D,C,A,E,A,B
210055291611,A,B,D,C,B,C,E,D,D,A,B,E,A,A,B,C,D,A,E,B,C,A,C,E,D,A,D,A,B,B,C,E,B,D,A,D,A,C,B,E,C,C,A,D,E
210057419996,B,B,A,C,A,D,B,C,D,E,A,C,D,E,E,D,A,A,A,D,C,A,D,A,B,E,C,C,C,B,D,C,C,B,E,E,A,E,D,D,A,A,A,A,B
210054958332,B,E,D,C,B,A,B,C,D,E,A,C,C,B,E,D,D,A,A,E,A,D,E,E,B,E,C,D,E,B,D,E,B,E,B,D,A,C,D,D,A,A,D,A,E
210057778807,D,A,D,B,E,A,E,A,A,B,D,E,A,A,E,D,A,A,D,A,D,D,E,E,A,E,A,E,A,B,D,A,B,E,E,C,A,B,D,D,B,D,D,A,C
210056333242,C,A,B,C,B,C,B,A,B,C,B,A,D,E,D,B,A,C,D,B,A,D,E,B,A,D,A,B,C,D,B,D,A,D,C,A,B,C,A,B,C,D,A,B,A
210056733461,D,B,B,E,E,E,D,E,E,D,E,C,E,E,A,E,E,E,E,E,A,E,E,A,A,E,E,D,E,B,D,A,E,E,E,D,A,E,E,A,A,D,C,E,C
210057174187,D,D,D,C,E,B,E,D,C,B,D,C,D,A,E,D,C,C,A,E,D,A,D,E,E,E,E,C,D,B,C,E,C,A,D,E,A,C,B,A,B,B,E,A,C
210056121330,C,B,B,E,A,D,B,B,D,D,A,D,D,B,E,C,A,A,D,D,B,A,B,D,A,E,C,E,D,B,A,E,B,B,A,D,A,A,E,D,B,D,A,A,B
210056136945,E,D,D,C,D,E,E,A,E,A,D,C,C,B,B,A,B,A,E,A,B,C,E,C,B,D,E,A,E,B,C,E,B,E,C,D,B,D,D,E,D,C,B,A,B
210054623807,D,E,C,A,A,C,A,A,C,C,D,A,D,B,E,D,A,A,E,E,B,A,E,D,B,E,C,A,A,D,A,E,C,B,C,B,A,C,D,C,A,C,A,E,E
210055289008,E,A,A,C,D,C,D,E,D,D,A,C,A,C,E,C,A,B,A,E,A,B,D,D,B,C,B,E,A,B,D,E,C,A,E,C,A,A,C,B,D,A,B,B,C
210056417248,B,C,E,D,A,E,A,B,E,C,B,E,D,C,A,E,D,A,D,C,E,C,A,D,B,A,E,D,C,B,D,C,A,A,A,A,D,*,D,E,B,A,B,A,D
210056488014,A,B,B,C,E,B,B,C,D,C,A,C,A,B,E,D,A,A,A,E,C,C,A,D,A,E,B,E,B,B,D,E,C,B,E,B,A,C,E,D,A,D,E,A,B
210056979764,D,C,C,B,D,C,A,B,D,A,D,A,C,B,D,C,A,A,D,E,C,B,E,E,A,D,B,B,A,B,C,C,B,D,C,D,A,A,A,A,A,C,E,A,B
210054901619,B,A,D,C,A,E,B,B,A,C,C,C,D,E,B,C,A,A,A,E,B,B,D,D,A,E,C,B,A,B,A,D,B,B,E,B,A,C,D,C,A,D,E,A,C
210054636125,E,B,D,E,E,E,A,C,D,B,A,C,C,C,B,A,A,A,A,D,B,A,D,D,D,E,C,D,B,B,D,D,C,A,A,D,A,D,D,A,C,C,A,A,C
210057839293,A,B,B,C,C,E,E,B,D,C,A,C,D,B,B,D,A,A,E,D,B,C,D,D,D,E,D,A,E,B,D,E,B,D,D,B,A,C,A,D,A,D,E,A,B
210056611949,C,D,A,C,E,A,B,D,A,D,C,C,C,E,D,B,D,A,E,D,C,D,B,B,A,E,C,A,E,B,C,B,B,D,A,B,A,B,A,A,E,D,E,A,C
210057328653,D,B,A,C,A,B,B,C,D,D,A,C,D,.,B,D,A,E,A,E,B,C,D,D,A,E,C,B,A,C,E,E,C,B,D,B,A,C,E,D,A,A,C,A,B
210057840155,D,C,C,E,E,E,E,C,A,D,A,C,A,B,B,E,B,A,A,A,B,C,E,D,C,A,A,C,A,A,B,B,C,B,A,B,B,B,D,B,A,D,A,A,C
210055086323,A,A,E,D,B,E,D,E,A,A,D,B,C,C,D,D,C,A,E,A,C,D,A,D,B,C,D,E,B,C,A,C,E,D,B,C,A,C,C,D,A,C,D,A,C
210057500288,A,A,E,C,E,D,B,E,E,A,D,D,B,A,B,A,A,A,E,E,B,A,D,D,E,B,C,B,A,C,D,E,B,E,D,D,A,A,E,D,E,D,E,A,B
210057966831,D,A,E,C,C,D,E,C,D,C,A,E,A,A,E,D,A,A,A,E,E,E,A,B,C,B,E,A,A,B,D,A,C,E,B,B,B,E,B,D,E,A,B,A,D
210057758696,D,E,C,D,C,B,E,C,A,B,C,E,B,C,E,D,E,A,E,D,E,B,C,E,A,B,C,B,A,B,D,B,C,D,A,D,B,E,D,D,A,A,B,B,A
210056478333,A,B,C,C,A,D,B,C,D,E,A,D,D,C,E,C,A,A,D,D,B,C,D,D,B,E,C,A,E,B,B,E,B,A,E,A,A,A,E,A,B,C,E,A,B
210057264304,A,C,E,D,B,A,C,E,B,E,E,A,D,C,A,E,D,B,D,C,E,A,B,E,C,E,A,D,A,E,A,E,E,C,C,B,C,E,A,B,D,A,D,C,E
210054514747,A,B,C,C,C,C,D,E,C,B,C,B,D,E,E,B,D,A,E,B,A,A,B,C,D,B,D,B,A,E,E,C,D,C,E,B,E,B,D,B,E,C,B,A,D
210057202103,D,E,B,A,E,A,D,D,E,C,D,E,A,B,C,C,E,A,E,B,E,A,B,E,B,B,E,C,C,E,A,C,A,B,D,E,A,.,E,C,D,E,E,A,E
210055421938,E,E,D,E,E,A,E,E,C,A,A,C,A,C,B,D,A,A,A,D,C,B,D,B,D,E,B,B,A,B,C,D,A,B,B,B,A,C,B,D,A,D,E,A,B
210054923314,A,D,D,D,A,B,D,E,B,D,B,C,A,E,D,C,B,A,C,B,D,C,D,B,C,D,D,B,D,B,C,E,B,B,D,C,A,B,C,D,E,D,E,A,B
210055285170,D,C,B,B,A,B,B,A,E,D,C,D,B,E,C,D,B,A,A,E,A,C,C,E,B,B,D,B,A,B,D,E,E,D,D,D,B,A,B,D,C,C,A,A,E
210054788571,A,C,B,D,E,A,D,A,C,D,A,C,B,B,A,D,A,A,C,B,A,D,A,D,B,D,A,B,E,A,B,C,A,C,A,C,A,E,B,C,A,E,C,A,B
210057426985,A,C,E,B,D,A,E,B,D,C,E,A,B,B,E,A,C,D,D,A,E,A,B,C,D,E,E,A,C,*,E,A,B,C,E,A,D,B,A,D,C,B,A,E,B
210057282528,D,B,D,E,E,B,B,E,A,A,E,C,D,D,E,D,A,A,A,D,B,B,D,A,B,E,C,B,D,B,A,D,B,A,E,B,B,C,B,D,B,C,E,D,B
210056737797,A,C,C,D,B,D,D,C,E,C,A,C,E,A,E,C,A,A,D,D,A,D,A,C,C,D,A,D,C,B,B,C,B,E,C,C,A,B,C,A,C,D,E,C,C
210057395988,D,A,E,B,A,C,E,E,E,A,A,E,A,C,B,D,B,A,A,B,A,A,A,A,A,A,A,B,A,A,E,A,E,A,A,E,E,E,A,A,A,E,D,A,E
210057421127,A,D,D,C,B,D,E,A,E,D,E,E,D,E,E,A,D,E,A,B,E,E,E,D,C,B,D,C,A,B,D,A,B,B,E,C,B,A,D,D,B,B,C,A,D
210055382412,D,E,E,E,E,E,E,C,C,A,E,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
210055532751,B,C,E,C,A,B,D,E,D,A,D,E,B,C,E,A,B,A,C,E,D,A,D,E,D,B,A,B,B,B,D,A,C,B,C,B,A,E,A,A,A,B,A,A,C
210057615546,B,C,D,C,A,D,C,C,D,A,A,C,A,B,D,A,A,A,C,B,C,C,D,B,B,E,E,A,A,B,A,B,B,E,B,B,A,B,A,C,E,A,A,A,E
210056990179,D,C,D,A,A,B,E,D,D,C,E,C,C,A,E,C,C,A,B,E,C,B,C,B,B,B,C,B,B,B,A,C,C,E,A,C,B,A,B,A,C,C,C,A,B
210057064901,D,C,D,C,E,A,E,A,A,A,E,C,A,E,B,C,A,A,A,E,B,C,D,D,B,E,B,B,B,B,D,E,B,B,D,B,B,B,A,C,A,A,E,A,E
210055245264,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
210056924303,D,C,E,C,E,E,B,D,D,C,E,E,D,B,B,D,A,C,B,E,B,A,D,B,E,D,B,E,A,B,D,D,C,A,E,E,A,C,D,D,A,C,C,A,B
210054526932,E,C,A,C,A,B,E,A,D,D,A,D,D,B,E,A,A,A,E,D,D,B,B,E,D,E,C,A,C,B,D,C,B,B,D,E,A,E,D,C,A,D,E,A,B
210055027221,D,E,E,A,E,A,E,C,E,E,E,E,D,C,E,C,E,E,A,B,D,E,E,E,B,E,B,A,E,B,E,C,E,D,C,E,B,C,D,E,E,A,B,A,A
210055242700,A,B,D,C,E,B,E,E,D,B,A,C,B,C,E,C,A,A,B,B,B,A,D,D,C,B,B,B,A,B,E,E,B,B,E,D,B,C,D,C,A,A,E,A,C
210057118925,D,E,B,C,A,E,D,C,D,D,B,C,E,C,B,C,C,A,A,C,A,D,D,B,D,E,C,B,B,B,D,C,A,C,A,E,A,C,C,E,E,C,C,A,B
210055892715,D,B,E,C,A,B,B,D,D,E,A,A,D,C,B,D,A,A,A,E,B,A,D,D,C,E,C,C,D,B,E,E,C,B,D,D,A,E,E,D,A,A,E,A,B
210057610373,B,D,E,C,E,D,B,C,A,A,C,A,B,D,B,D,A,E,A,B,B,C,C,E,B,E,A,C,B,B,B,B,B,B,E,E,A,C,A,D,B,C,.,A,.
210057804500,D,E,B,C,E,B,B,D,A,A,A,C,A,D,E,D,A,A,A,B,B,A,D,D,A,E,C,E,A,B,C,D,C,B,D,D,A,C,D,D,B,A,E,A,B
210055719275,A,B,A,C,A,B,B,C,D,A,A,A,D,C,B,D,A,A,E,D,C,C,C,D,A,E,E,B,E,B,A,E,C,E,D,D,B,A,E,D,A,A,E,A,B
210054765481,A,B,B,B,E,B,D,B,D,A,B,D,D,E,B,B,D,A,A,E,E,A,E,E,B,D,B,B,B,A,D,D,B,C,E,B,A,C,D,D,D,D,C,A,E
210054767915,A,C,D,A,A,E,D,D,D,B,E,A,C,A,B,D,E,E,A,A,C,D,A,B,E,C,A,B,A,B,E,C,C,E,B,D,B,D,A,D,B,C,E,A,A
210054672222,D,D,E,D,C,D,E,D,B,C,D,A,E,B,E,E,E,B,D,A,D,E,C,E,A,C,D,A,C,D,C,A,A,C,D,B,A,D,E,D,C,E,C,B,D
210057951537,D,E,C,C,A,C,D,C,D,C,C,C,D,B,B,C,A,C,E,E,C,A,D,B,A,E,B,E,A,B,C,C,C,E,B,C,A,C,D,B,A,C,C,A,C
210056824002,A,C,B,C,B,A,E,B,D,B,A,C,A,C,C,E,C,A,B,C,B,A,C,B,D,C,E,C,B,B,A,C,D,B,A,B,A,D,D,D,E,B,C,A,C
210055902879,C,E,E,C,A,C,D,A,E,A,C,B,E,C,E,D,A,A,E,E,E,A,E,D,C,A,D,A,A,B,C,E,A,B,B,D,B,E,E,D,A,B,D,A,C
210054930488,D,A,E,E,E,B,D,C,D,C,A,C,D,B,D,C,A,A,B,C,E,C,D,D,B,E,B,B,E,B,D,E,C,B,D,E,A,C,D,D,A,D,C,A,C
210057906266,A,D,B,A,D,E,B,D,D,B,C,A,C,C,E,B,A,D,B,D,A,E,C,D,D,A,C,A,A,B,B,E,A,E,E,E,B,D,B,A,C,B,E,A,C
210055091956,C,C,B,C,E,E,B,C,D,A,C,D,C,B,E,D,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
210054837526,B,A,B,C,E,D,E,C,E,C,A,B,D,A,D,B,C,A,A,E,E,D,A,B,B,C,C,D,C,B,B,A,A,D,C,B,B,C,A,D,E,A,A,A,B
210055135895,A,A,D,D,A,E,E,A,D,A,A,E,A,A,B,A,A,A,A,B,A,A,D,A,A,D,A,D,A,B,D,E,B,A,E,E,A,A,A,E,A,B,A,A,E
210055289662,E,C,C,A,B,E,E,E,A,C,E,C,B,C,E,A,C,A,E,B,D,A,A,E,B,C,E,A,D,E,A,C,A,C,E,B,B,D,B,E,A,E,D,C,E
210057061516,E,A,A,A,E,A,E,A,E,A,A,E,C,A,B,D,E,A,E,B,E,E,E,E,D,B,C,D,A,B,D,E,A,E,D,E,A,A,D,D,C,C,E,A,E
210054907448,E,B,B,C,E,B,B,C,D,E,A,C,D,D,E,D,A,A,A,D,B,A,D,D,A,*,C,D,E,B,A,E,C,B,C,D,A,E,D,D,E,D,E,A,B
210057777259,B,D,E,E,D,A,E,A,D,C,B,D,D,E,A,B,C,A,D,E,C,A,A,D,A,D,A,A,A,B,C,D,D,E,A,D,A,D,E,C,D,E,E,A,C
210056806166,E,A,D,C,C,D,B,B,D,C,D,C,E,A,B,D,A,A,A,E,B,A,B,D,D,E,C,D,D,B,A,E,C,B,E,B,A,A,E,C,A,B,E,A,C
210055813854,D,C,A,C,A,E,E,D,D,B,A,D,D,D,B,D,A,C,A,E,D,A,D,D,A,E,A,B,E,B,B,E,C,B,A,B,B,D,D,A,A,D,E,A,B
210057193312,D,D,E,C,E,B,B,C,A,D,C,B,D,A,E,D,A,A,A,D,B,E,A,D,A,E,C,D,A,E,D,D,B,A,E,B,A,C,E,E,B,C,A,A,C
210057695797,D,B,E,E,E,D,B,C,D,A,C,B,D,A,B,B,E,E,A,D,C,D,A,E,D,C,A,E,B,A,C,E,D,E,A,E,B,B,B,E,A,A,E,B,E
210057650841,E,C,D,C,E,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
210056893689,C,A,D,A,B,A,D,D,B,A,C,A,C,D,A,A,C,A,D,D,D,D,C,C,B,B,D,B,B,B,A,A,D,B,C,B,A,C,C,C,A,B,C,A,C
210057607423,D,B,B,C,E,A,A,B,A,C,E,A,A,A,B,A,B,A,A,A,E,A,A,E,C,A,D,A,A,B,A,A,E,B,C,B,B,A,E,D,B,B,E,A,E
210056330954,D,C,A,A,E,B,B,D,D,B,A,D,B,C,E,D,A,A,A,E,B,A,D,D,B,E,B,E,D,B,A,E,C,B,E,B,B,C,A,D,A,A,C,E,B
210055015021,A,E,D,B,E,E,B,C,A,B,C,C,D,A,E,D,A,A,A,E,A,A,E,E,B,B,A,A,B,B,D,E,B,A,A,E,B,D,C,D,B,A,E,A,A
210055067429,E,A,A,C,A,B,E,E,D,B,A,E,D,E,B,E,B,B,A,B,C,D,D,C,C,E,C,E,E,B,C,E,A,B,E,E,A,A,C,D,B,C,A,D,B
210057049325,A,A,E,B,A,E,B,D,E,D,A,A,E,B,A,D,E,C,A,D,E,E,E,C,A,E,A,E,D,D,D,A,E,B,C,A,A,D,A,D,C,A,D,E,A
210055881357,C,C,D,D,A,B,D,D,C,D,E,B,D,C,C,D,B,A,A,A,B,C,D,E,B,E,A,C,A,B,E,E,C,B,E,D,A,E,C,D,E,C,C,A,B
210055854240,D,C,D,C,A,B,B,B,D,D,C,D,C,A,B,D,A,B,A,E,B,E,D,A,C,D,D,C,A,B,D,C,A,B,E,E,A,B,E,D,B,A,E,A,B
210055106500,D,B,E,C,A,C,E,D,E,C,A,E,C,B,E,B,D,D,A,E,C,B,C,A,D,E,D,B,E,C,A,B,E,D,E,B,A,C,D,A,B,D,A,E,D
210057722220,E,B,B,B,E,E,A,E,B,A,E,D,E,C,E,E,E,E,A,A,E,B,A,E,E,D,A,A,E,D,E,E,C,D,B,E,E,C,D,D,E,B,E,A,A
210055539264,E,A,D,C,B,D,D,C,D,D,A,B,D,E,E,C,D,A,B,E,B,C,D,A,D,E,D,B,E,C,A,C,B,B,E,D,B,E,B,C,A,D,E,A,C
210057694006,C,B,C,C,D,B,B,E,A,E,D,C,D,A,C,D,A,A,A,D,B,A,D,D,A,E,C,C,E,B,D,E,B,B,D,E,A,C,D,D,A,D,C,A,B
210056445282,D,B,B,C,A,A,B,C,B,C,C,D,E,E,E,C,A,A,A,D,B,D,D,D,A,E,A,E,C,B,A,E,C,B,D,D,B,C,E,D,B,D,E,A,A
210056692042,D,A,A,C,A,E,D,D,D,B,A,E,A,C,E,D,E,A,A,E,A,A,E,B,D,E,B,C,A,B,A,E,B,E,C,B,B,C,D,D,A,B,A,A,C
210055921088,C,A,B,C,E,D,B,B,A,B,C,C,E,A,E,D,A,A,A,B,E,C,D,A,E,B,B,E,D,B,D,A,B,B,B,C,A,D,D,E,E,B,C,C,C
210057474680,C,B,E,C,E,B,B,A,D,C,A,C,D,C,C,D,A,C,D,E,C,A,D,E,B,E,C,A,C,B,C,D,A,E,E,B,B,A,D,D,C,C,B,A,B
210057660959,C,B,A,A,B,C,D,D,A,E,C,E,E,C,D,E,A,A,A,D,B,A,D,E,A,E,A,B,E,B,C,D,E,A,B,C,A,D,A,D,E,A,B,C,B
210057335033,B,B,D,C,A,B,B,D,D,D,A,C,C,C,E,D,A,A,A,E,C,A,D,E,C,E,C,D,C,B,B,D,C,B,D,B,A,C,E,D,A,A,E,A,B
210055107865,C,D,D,D,E,D,D,E,E,C,C,B,B,C,B,B,D,A,C,E,B,B,A,B,B,D,D,E,D,B,D,E,E,E,A,B,B,E,E,C,B,E,C,A,E
210054483301,B,A,D,C,B,E,B,C,D,C,D,D,C,B,E,D,A,B,D,B,A,A,C,D,E,E,C,A,A,C,D,C,A,B,A,C,A,C,D,C,A,D,A,A,C
210055205103,D,A,D,C,D,B,E,C,A,B,A,C,E,C,E,D,A,C,E,A,E,A,D,E,D,C,D,B,A,B,A,D,C,A,D,D,A,B,A,D,A,B,E,A,E
210057212033,A,A,E,A,A,A,D,A,C,A,A,A,A,D,E,D,A,A,A,A,E,A,D,D,E,A,E,E,A,B,A,E,E,A,E,A,E,D,D,E,A,B,E,A,C
210057596190,B,B,A,C,E,D,B,B,B,B,A,B,D,B,E,D,A,A,A,A,C,D,C,D,B,E,B,B,E,B,D,E,C,B,E,B,A,E,D,D,A,D,C,A,A
210057838782,D,B,C,C,A,B,B,E,A,B,D,C,D,E,B,A,A,A,C,E,E,E,A,E,E,E,C,A,C,B,C,E,C,B,C,B,A,B,A,D,A,A,C,A,B
210055968319,D,E,C,C,E,C,D,E,D,B,D,B,D,C,B,D,A,B,C,E,A,D,E,E,B,D,D,C,B,A,D,E,C,A,D,B,A,C,A,D,A,D,E,A,C
210055901587,B,B,A,C,E,A,E,D,A,A,E,C,C,C,B,D,D,A,A,B,D,A,D,D,C,A,D,E,A,B,A,B,B,B,B,D,A,A,D,D,A,E,D,A,C
210055284174,A,E,D,C,A,E,D,C,A,B,A,E,D,B,B,D,A,A,E,E,E,A,B,D,B,E,C,C,D,B,D,D,A,A,E,D,A,B,A,A,B,B,B,A,C
210054531925,B,A,A,C,A,D,B,E,B,C,C,B,A,E,C,A,A,A,A,E,A,B,C,D,C,E,A,B,E,B,E,E,C,B,D,B,A,C,E,C,B,B,E,A,B
210057473016,E,B,B,C,A,E,E,C,D,C,C,C,D,D,E,D,A,A,A,E,C,C,D,D,A,E,C,B,E,B,C,E,C,A,C,D,A,E,D,D,A,A,E,A,B
210057807601,C,B,D,C,A,E,B,D,D,B,D,A,C,B,B,C,B,A,C,E,A,D,D,E,B,C,C,B,B,B,D,C,B,D,D,D,A,C,B,D,E,D,C,A,E
210054684009,C,D,A,B,C,E,D,A,C,D,C,A,A,B,E,B,D,A,*,C,D,C,A,E,D,A,E,C,B,E,A,E,C,B,D,C,B,B,A,D,C,E,A,D,E
210054589357,C,C,B,D,A,B,E,B,D,C,A,C,A,B,B,D,A,A,A,E,B,A,E,D,C,B,B,B,C,B,B,B,B,E,A,A,A,A,B,D,D,B,C,B,C
210057942192,A,C,D,C,E,C,D,D,E,C,C,C,A,B,B,C,D,A,D,C,A,E,C,A,A,D,A,A,A,B,E,B,B,B,C,E,A,B,D,A,E,C,A,A,E
210057065043,A,C,D,A,A,C,E,C,E,A,D,E,D,E,B,D,C,A,A,E,B,A,D,D,B,B,A,A,A,B,D,B,B,B,D,B,A,E,D,D,A,B,E,A,B
210055431194,C,E,C,E,A,E,E,E,D,C,A,C,C,D,B,A,D,A,E,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
210054894211,E,A,D,C,E,A,E,B,D,A,D,C,D,B,D,D,E,A,A,E,C,A,C,A,D,B,E,A,D,B,A,E,C,B,D,A,C,B,E,A,B,E,B,A,E
210056637059,B,C,E,E,B,E,A,A,D,B,D,A,C,B,A,C,C,A,C,B,D,B,B,C,C,A,D,A,C,D,B,C,B,A,D,C,C,C,B,C,D,E,D,C,B
210057252704,A,E,B,D,A,E,A,E,E,A,C,A,E,C,E,B,B,A,E,E,A,A,B,E,B,D,E,E,A,B,D,E,E,E,E,E,B,B,E,A,A,D,E,A,C
210055307382,D,C,C,D,B,B,E,D,E,A,A,B,D,C,E,D,A,A,D,E,C,B,B,C,D,C,B,B,A,D,A,B,B,A,D,D,A,C,B,D,A,B,E,E,C
210055956745,A,B,C,B,A,B,D,C,D,B,A,D,D,D,E,D,D,A,A,D,B,B,D,E,A,E,A,C,B,B,E,D,B,A,E,D,A,C,A,D,B,A,C,A,C
210056743304,B,E,A,B,E,C,D,B,D,A,A,B,D,A,A,D,D,A,A,A,C,B,C,D,C,B,B,A,A,B,D,E,B,D,A,D,B,A,A,A,D,A,C,A,C
210057593703,D,A,D,C,E,E,B,C,C,A,A,E,C,E,B,A,B,A,A,B,C,C,A,D,E,B,A,A,C,D,B,C,B,A,C,B,E,E,C,B,B,C,A,A,B
210056915292,D,C,C,A,B,E,D,B,C,A,A,B,D,B,B,C,A,A,B,B,E,E,C,C,A,A,B,C,E,E,A,B,B,D,A,B,D,E,C,B,A,D,E,A,A
210054479626,E,E,C,E,E,B,E,D,C,A,B,D,C,A,B,E,C,A,C,D,E,B,D,C,B,D,E,A,A,B,E,D,B,C,C,C,B,D,C,D,C,E,B,A,B
210057639443,A,A,A,C,E,E,B,C,D,C,A,C,A,E,B,E,B,B,E,B,E,E,E,A,B,D,C,D,A,D,B,C,E,E,B,E,B,E,E,D,D,C,C,A,C
210056644502,B,B,D,C,D,E,B,C,D,B,C,C,D,D,B,A,E,A,E,D,B,A,C,E,B,E,D,C,A,B,C,C,B,D,D,C,A,D,D,A,B,C,C,A,B
210057219560,E,A,C,D,A,E,B,C,E,C,E,A,D,E,D,D,C,E,D,B,E,A,B,C,A,*,B,B,B,B,E,C,E,B,E,D,A,E,B,B,E,C,A,B,D
210055148301,A,B,C,D,E,A,B,C,D,E,A,B,B,D,D,E,C,D,E,A,B,A,D,C,C,E,A,B,D,C,A,B,C,D,E,A,B,A,D,C,D,E,*,B,C
210056487965,C,E,D,C,A,A,D,E,D,A,B,E,A,C,D,C,B,A,B,B,E,A,C,D,C,B,A,B,E,B,C,D,A,E,C,B,A,D,D,D,B,E,B,A,C
210056710835,D,C,D,D,A,D,E,B,B,D,A,C,E,E,A,A,C,B,D,E,E,D,B,E,A,C,B,B,C,B,A,B,E,C,D,B,B,E,D,A,A,D,E,A,D
210057766054,A,C,A,C,B,B,B,D,C,A,C,C,A,B,C,A,B,A,E,B,B,A,B,C,B,B,D,C,C,B,D,C,C,A,D,D,A,C,B,A,A,B,D,A,C
210055045951,A,E,D,E,B,E,D,C,D,E,E,E,E,D,E,C,E,D,E,C,E,E,E,E,E,E,E,E,E,B,E,E,E,E,E,E,E,E,E,A,E,E,E,A,C
210056325031,A,B,E,E,E,E,E,C,D,C,C,C,B,B,B,C,B,A,C,C,D,C,C,C,B,E,A,D,A,A,D,D,C,B,D,C,A,C,A,D,A,A,E,A,B
210055774011,B,A,C,B,E,D,D,A,E,A,E,C,A,A,D,E,B,A,D,A,E,D,A,D,C,C,D,B,A,D,A,E,E,B,A,D,B,E,A,C,B,E,B,A,D
210056195774,B,A,C,E,A,C,D,B,B,D,E,A,D,C,C,D,B,D,D,B,C,C,E,A,B,B,D,B,E,A,A,C,C,E,B,D,D,A,B,B,C,C,E,B,D
210057333010,B,A,E,C,A,A,B,C,D,A,E,A,C,A,B,D,B,A,E,A,A,E,B,D,D,E,E,A,A,B,A,C,B,A,C,D,A,A,B,D,E,C,A,A,C
210054922442,E,E,C,B,B,D,E,D,D,D,C,C,C,B,C,A,C,A,E,D,D,D,E,D,C,D,E,D,D,D,B,E,D,D,D,A,B,D,D,C,D,D,C,D,B
210056323556,A,C,A,C,B,D,C,B,E,C,A,D,*,C,B,D,C,B,D,C,A,B,C,B,D,E,D,E,C,E,C,B,C,A,D,C,B,C,D,C,E,D,B,A,E
210055123544,B,C,B,B,E,D,D,B,A,C,C,C,C,B,B,C,B,A,C,B,D,E,E,C,D,D,A,C,C,A,B,C,D,E,E,C,A,C,*,B,B,C,B,B,C
